iid,id,gender,pid,match,age,field,race,from,income,goal,date,career,exphappy,expnum,satis_2,from_upper
1,1,0,11,0,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,12,0,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,13,1,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,14,1,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,15,1,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,16,0,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,17,0,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,18,0,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,19,1,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
1,1,0,20,0,21,Law,4,illinois,69487,2,7,lawyer,3,2,6,illinois
2,2,0,11,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,12,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,13,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,14,1,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,15,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,16,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,17,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,18,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,19,1,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
2,2,0,20,0,24,law,2,alabama,65929,1,5,lawyer,4,5,5,alabama
3,3,0,11,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,12,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,13,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,14,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,15,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,16,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,17,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
3,3,0,18,0,25,Economics,2,connecticut,,6,3,Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin,4,2,,connecticut
